# plot 'bandwidth.dat' using 1:2 title 'v1 op1' with lines, 'bandwidth.dat' using 1:3 title 'v1 op2' w lines, 'bandwidth.dat' u 1:4 title 'v2 op1' w lines, 'bandwidth.dat' u 1:5 title 'v2 op2' w lines

#N      #V1 op1     #V1 op2     #V2 op1     #V2 op2
32     7524.1384    1184.0777   6365.7815   1300.8202
33     6352.1362    988.6561    7050.0715   1541.7611
64     8045.1972    565.3628    6012.7111   792.8225
65     7687.2054    526.7430    7289.7623   713.1680
128    11532.2393   587.9281    11568.2454  575.4566
129    11960.2317   769.0983    10061.7320  562.2854
256    11800.5187   8188.7191   15798.1005  20241.7697
257    12149.0561   8212.7073   15478.4987  18743.0869
512    10755.0234   8826.1040   17644.8255  23392.9465
1000   9273.4605    8288.6646   14622.5925  18096.1028
2000   9014.9406    8502.5754   12996.8486  14551.9154
