# plot 'cachemiss.dat' using 1:2 title 'v1 op1' with lines, 'cachemiss.dat' using 1:3 title 'v1 op2' w lines, 'cachemiss.dat' u 1:4 title 'v2 op1' w lines, 'cachemiss.dat' u 1:5 title 'v2 op2' w lines
##
#N      #V1 op1     #V1 op2     #V2 op1     #V2 op2
32      0.2050      0.2376      0.2119      0.2248
33      0.1887      0.2404      0.2088      0.2325
64      0.2168      0.0838      0.1782      0.0829
65      0.2245      0.0746      0.1838      0.0510
128     0.3247      0.0367      0.2805      0.0218
129     0.3357      0.0356      0.2883      0.0221
256     0.3524      0.3559      0.3357      0.3604
257     0.3497      0.3329      0.3359      0.3227
512     0.3545      0.3313      0.3407      0.3391
1000    0.3364      0.2929      0.3317      0.3405
2000    0.2882      0.2665      0.3282      0.3430
