# plot 'flops-scalar.dat' using 1:2 title 'v1 op1' with lines, 'flops-scalar.dat' using 1:3 title 'v1 op2' w lines, 'flops-scalar.dat' u 1:4 title 'v2 op1' w lines, 'flops-scalar.dat' u 1:5 title 'v2 op2' w lines

#N      #V1 op1     #V1 op2     #V2 op1     #V2 op2
32      746.8166    1298.2734   591.2981    3332.5903
33      778.3153    1286.0810   666.8122    3168.9134
64      1116.2169   1434.5899   1496.6277   5440.1500
65      1133.0288   1395.1193   1609.2399   4790.1569
128     1731.2865   2001.8783   2864.4556   6988.0912
129     1663.3051   1782.9769   2820.0304   6334.3989
256     2165.7569   2314.8190   3993.4072   7370.3413
257     2013.3368   2127.6302   3998.0815   7118.8467
512     2280.5922   2185.0851   4775.7070   7927.6770
1000    1941.1152   2535.8959   4220.4157   5776.1148
2000    1814.9926   2151.3411   3981.9985   4047.8501
