
# set xtics (256, 512, 1000, 2000)
# plot 'time.dat' using 1:2 title 'v1 op1' with lines, 'time.dat' using 1:3 title 'v1 op2' w lines, 'time.dat' u 1:4 title 'v2 op1' w lines, 'time.dat' u 1:5 title 'v2 op2' w lines
#tempo em ms
#N      #V1 op1     #V1 op2     #V2 op1     #V2 op2
32      26.547      0.29633     23.4851     0.03396
33      25.1434     0.28208     23.3115     0.03188
64      22.9743     0.56301     20.5781     0.16677
65      23.4939     0.63403     20.3644     0.18064
128     20.5809     2.8274      16.6918     0.98195
129     20.7204     2.7909      16.3212     1.10203
256     24.4046     17.4301     17.4922     6.70027
257     23.339      16.7438     17.8515     7.2407
512     44.6664     123.686     26.2052     46.1568
1000    135.758     982.879     75.0133     439.49
2000    489.351     8285.02     283.405     4165.51
